DateMark,Date Catch,Colour,DayMark,DayCatch,Sex,DaysBetween,SwarmsBetween,multipleCatch,multipleColour1,DaysSinceMC1,SwarmsSinceMC1,multipleColour2,DaysSinceMC2,SwarmsSinceMC2
June 8 2020,June 10 2020 ,yellow,1,3,f,2,2,0,,,,,,
June 9 2020,June 10 2020,green,2,3,f,1,1,0,,,,,,
June 9 2020,June 11 2020,green,2,4,f,2,2,0,,,,,,
June 9 2020,June 11 2020,green,2,4,f,2,2,0,,,,,,
June 9 2020,June 11 2020,green,2,4,f,2,2,0,,,,,,
June 10 2020,June 14 2020,blue,3,7,f,4,5,0,,,,,,
June 10 2020,June 15 2020,blue,3,8,f,5,6,0,,,,,,
June 9 2020,June 15 2020,green,2,8,f,6,7,0,,,,,,
June 14 2020,June 15 2020,red,7,8,f,1,1,0,,,,,,
June 14 2020,June 15 2020,red,7,8,f,1,1,0,,,,,,
June 10 2020,June 15 2020,blue,3,8,f,5,6,0,,,,,,
June 14 2020,June 15 2020,red,7,8,f,1,1,1,blue,5,6,,,
June 14 2020,June 15 2020,red,7,8,f,1,1,0,,,,,,
June 11 2020,June 15 2020,pink,4,8,f,4,4,0,,,,,,
June 10 2020,June 15 2020,blue,3,8,f,5,6,0,,,,,,
June 15 2020,June 16 2020,silver,8,9,f,1,1,1,blue,6,7,,,
June 10 2020,June 15 2020,blue,3,8,f,5,6,0,,,,,,
June 11 2020,June 16 2020,pink,4,9,f,5,5,0,,,,,,
June 14 2020,June 16 2020,red,7,9,f,2,2,0,,,,,,
June 14 2020,June 16 2020,red,7,9,f,2,2,0,,,,,,
June 15 2020,June 16 2020,silver,8,9,f,1,1,0,,,,,,
June 11 2020,June 16 2020,gold,4,9,f,5,6,0,,,,,,
June 16 2020,June 17 2020,orange,9,10,f,1,1,0,,,,,,
June 16 2020,June 17 2020,orange,9,10,f,1,1,1,gold,5,6,,,
June 11 2020,June 16 2020,gold,4,9,f,4,5,0,,,,,,
June 14 2020,June 17 2020,red,7,10,f,3,3,0,,,,,,
June 16 2020,June 17 2020,orange,9,10,f,1,1,0,,,,,,
June 15 2020,June 17 2020,silver,8,10,f,2,2,0,,,,,,
June 17 2020,June 18 2020,white,10,11,f,1,1,0,,,,,,
June 15 2020,June 18 2020,silver,8,11,f,3,3,1,red,4,4,blue,8,9
June 14 2020,June 18 2020,red,7,11,f,4,4,0,,,,,,
June 16 2020,June 18 2020,orange,9,11,f,2,2,0,,,,,,
June 14 2020,June 18 2020,red,7,11,f,4,4,0,,,,,,
June 17 2020,June 18 2020,white,10,11,f,1,1,1,red,4,4,,,
June 17 2020,June 18 2020,white,10,11,f,1,1,1,orange,2,2,,,
June 17 2020,June 18 2020,orange,9,11,f,2,2,0,,,,,,
June 15 2020,June 18 2020,silver,8,11,f,3,3,1,red,4,4,blue,8,9
June 15 2020,June 18 2020,silver,7,11,f,4,4,0,,,,,,
June 15 2020,June 18 2020,silver,8,11,f,3,3,0,,,,,,
June 16 2020,June 18 2020,orange,9,11,f,2,2,0,,,,,,
June 16 2020,June 18 2020,orange,9,11,f,2,2,0,,,,,,
June 16 2020,June 18 2020,orange,9,11,f,2,2,0,,,,,,
June 9 2020,June 10 2020,green,2,3,m,1,1,0,,,,,,
June 10 2020,June 11 2020,blue,3,4,m,1,1,0,,,,,,
June 10 2020,June 11 2020,blue,3,4,m,1,1,0,,,,,,
June 10 2020,June 14 2020,blue,3,7,m,4,5,0,,,,,,
June 10 2020,June 14 2020,blue,3,7,m,4,5,0,,,,,,
June 14 2020,June 15 2020,red,7,8,m,1,1,0,,,,,,
June 14 2020,June 15 2020,red,7,8,m,1,1,0,,,,,,
June 9 2020,June 15 2020,green,2,8,m,6,7,0,,,,,,
June 9 2020,June 15 2020,green,2,8,m,6,7,0,,,,,,
June 10 2020,June 15 2020,blue,3,8,m,5,6,0,,,,,,
June 9 2020,June 15 2020,green,2,8,m,6,7,0,,,,,,
June 9 2020,June 15 2020,green,2,8,m,6,7,0,,,,,,
June 14 2020,June 15 2020,red,7,8,m,1,1,1,blue,6,7,,,
June 14 2020,June 15 2020,red,7,8,m,1,1,0,,,,,,
June 11 2020,June 15 2020,gold,4,8,m,4,5,0,,,,,,
June 14 2020,June 15 2020,red,7,8,m,1,1,0,,,,,,
June 10 2020,June 15 2020,blue,3,8,m,5,6,0,,,,,,
June 9 2020,June 15 2020,green,2,8,m,6,7,0,,,,,,
June 15 2020,June 16 2020,silver,8,9,m,1,1,0,,,,,,
June 15 2020,June 16 2020,silver,8,9,m,1,1,0,,,,,,
June 15 2020,June 16 2020,silver,8,9,m,1,1,0,,,,,,
June 15 2020,June 16 2020,silver,8,9,m,1,1,0,,,,,,
June 15 2020,June 16 2020,silver,8,9,m,1,1,0,,,,,,
June 15 2020,June 16 2020,silver,8,9,m,1,1,0,,,,,,
June 15 2020,June 16 2020,silver,8,9,m,1,1,0,,,,,,
June 15 2020,June 16 2020,silver,8,9,m,1,1,0,,,,,,
June 14 2020,June 16 2020,red,7,9,m,2,2,0,,,,,,
June 15 2020,June 16 2020,silver,8,9,m,1,1,0,,,,,,
June 15 2020,June 16 2020,silver,8,9,m,1,1,1,blue,6,7,,,
June 10 2020,June 15 2020,blue,3,8,m,6,7,0,,,,,,
June 15 2020,June 16 2020,silver,8,9,m,1,1,0,,,,,,
June 15 2020,June 16 2020,silver,8,9,m,1,1,0,,,,,,
June 15 2020,June 16 2020,silver,8,9,m,1,1,0,,,,,,
June 15 2020,June 16 2020,silver,8,9,m,1,1,0,,,,,,
June 14 2020,June 16 2020,red,7,9,m,2,2,0,,,,,,
June 15 2020,June 16 2020,silver,8,9,m,1,1,0,,,,,,
June 16 2020,June 17 2020,orange,9,10,m,1,1,0,,,,,,
June 10 2020,June 17 2020,blue,3,10,m,7,8,0,,,,,,
June 16 2020,June 17 2020,orange,9,10,m,1,1,0,,,,,,
June 16 2020,June 17 2020,orange,9,10,m,1,1,0,,,,,,
June 16 2020,June 17 2020,orange,9,10,m,1,1,1,silver,2,2,,,
June 14 2020,June 17 2020,red,7,10,m,3,3,0,,,,,,
June 16 2020,June 17 2020,orange,9,10,m,1,1,0,,,,,,
June 15 2020,June 17 2020,silver,8,10,m,2,2,0,,,,,,
June 16 2020,June 17 2020,orange,9,10,m,1,1,0,,,,,,
June 16 2020,June 17 2020,orange,9,10,m,1,1,1,silver,2,2,,,
June 15 2020,June 17 2020,silver,8,10,m,2,2,0,,,,,,
June 16 2020,June 17 2020,orange,9,10,m,1,1,0,,,,,,
June 11 2020,June 18 2020,pink,4,11,m,7,7,0,,,,,,
June 17 2020,June 18 2020,white,10,11,m,1,1,0,,,,,,
June 15 2020,June 18 2020,silver,7,11,m,4,4,0,,,,,,